ID,RA[hr],Dec[deg],ID_Simbad,ID_MWSC,ID_WEBDA,ID_Piskunov,ID_Kharchenko,ID_Salaris,ID_vandenBergh,ID_Cantat-Gaudin,ID_Lynga,dist[pc],err_dist[pc],N_dist[pc],age[Myr],err_age[Myr],N_age[Myr],[Fe/H],err_[Fe/H],N_[Fe/H],mass[Msun],err_mass[Msun],N_mass[Msun],rgc[pc],err_rgc[pc],N_rgc[pc],rhm[pc],err_rhm[pc],N_rhm[pc],Av[mag],err_Av[mag],N_Av[mag]
[KPS2012]_MWSC_4688,23 51 54.000,-86 43 12.000,[KPS2012]_MWSC_4688,MWSC_4688,,,,,,,,1336.0,0.0,1.0,2454.708915685034,0.0,1.0,,,,28.5,0.0,1.0,,,,,,,,,
[KPS2012]_MWSC_5684,12 53 43.000,-86 38 54.000,,MWSC_5684,,,,,,,,1432.0,0.0,1.0,1513.561248436207,0.0,1.0,,,,26.0,0.0,1.0,,,,,,,,,
[KPS2012]_MWSC_5692,17 47 20.000,-86 36 36.000,,MWSC_5692,,,,,,,,1555.0,0.0,1.0,851.1380382023759,0.0,1.0,,,,14.0,0.0,1.0,,,,,,,,,
[KPS2012]_MWSC_4005,00 11 28.000,-85 28 48.000,[KPS2012]_MWSC_4005,MWSC_4005,,,,,,,,1159.0,0.0,1.0,2371.3737056616555,0.0,1.0,,,,21.0,0.0,1.0,,,,,,,,,
[KPS2012]_MWSC_4176,14 27 18.000,-85 25 12.000,[KPS2012]_MWSC_4176,MWSC_4176,,,,,,,,1093.0,0.0,1.0,2065.380155810527,0.0,1.0,,,,77.5,0.0,1.0,,,,,,,,,
ESO_8-6,14 56 55.000,-83 26 42.000,ESO_8-6,ESO_008-06,,,ESO_008-06,,,,,1380.0,0.0,2.0,1995.2623149688827,0.0,2.0,,,,39.0,0.0,2.0,,,,1.2178437548678025,0.0,1.0,0.9984000000000001,0.0,1.0
[KPS2012]_MWSC_4219,15 42 14.000,-83 11 42.000,[KPS2012]_MWSC_4219,MWSC_4219,,,,,,,,1606.0,0.0,1.0,1258.9254117941662,0.0,1.0,,,,47.5,0.0,1.0,,,,,,,,,
[KPS2012]_MWSC_5575,01 59 42.000,-83 03 00.000,,MWSC_5575,,,,,,,,2191.0,0.0,1.0,1584.8931924611109,0.0,1.0,,,,10.0,0.0,1.0,,,,,,,,,
[KPS2012]_MWSC_4682,23 43 23.000,-82 57 36.000,[KPS2012]_MWSC_4682,MWSC_4682,,,,,,,,1065.0,0.0,1.0,1905.4607179632444,0.0,1.0,,,,29.0,0.0,1.0,,,,,,,,,
[KPS2012]_MWSC_5685,13 05 24.000,-82 02 36.000,,MWSC_5685,,,,,,,,1581.0,0.0,1.0,1412.5375446227556,0.0,1.0,,,,32.0,0.0,1.0,,,,,,,,,
[KPS2012]_MWSC_5681,10 41 47.000,-82 00 18.000,,MWSC_5681,,,,,,,,1700.0,0.0,1.0,954.992586021437,0.0,1.0,,,,20.5,0.0,1.0,,,,,,,,,
[KPS2012]_MWSC_2014,12 20 06.000,-81 30 36.000,[KPS2012]_MWSC_2014,FSR_1626,,,FSR_1626,,,,,2671.0,0.0,2.0,3981.071705534969,0.0,2.0,,,,54.5,0.0,2.0,,,,9.521323901693728,0.0,1.0,0.6656,0.0,1.0
[KPS2012]_MWSC_2064,12 45 43.000,-81 15 30.000,[KPS2012]_MWSC_2064,FSR_1631,,,FSR_1631,,,,,1456.0,0.0,2.0,3162.2776601683795,0.0,2.0,,,,50.0,0.0,2.0,,,,0.9595132614109958,0.0,1.0,0.3328,0.0,1.0
[KPS2012]_MWSC_2049,12 34 55.000,-80 57 00.000,[KPS2012]_MWSC_2049,FSR_1629,,,FSR_1629,,,,,3597.0,0.0,2.0,5011.872336272714,0.0,2.0,,,,39.0,0.0,2.0,,,,2.989252852857333,0.0,1.0,0.19840000000000002,0.0,1.0
[KPS2012]_MWSC_5688,15 25 59.000,-80 07 48.000,,MWSC_5688,,,,,,,,1236.0,0.0,1.0,977.2372209558112,0.0,1.0,,,,12.5,0.0,1.0,,,,,,,,,
ESO_26-2,20 26 38.000,-80 00 00.000,ESO_26-2,ESO_026-02,,,ESO_026-02,,,,,2473.0,0.0,2.0,5011.872336272714,0.0,2.0,,,,22.0,0.0,2.0,,,,2.6571136469842958,0.0,1.0,0.3328,0.0,1.0
[KPS2012]_MWSC_4137,09 26 11.000,-79 44 24.000,[KPS2012]_MWSC_4137,MWSC_4137,,,,,,,,1209.0,0.0,1.0,1621.8100973589333,0.0,1.0,,,,41.5,0.0,1.0,,,,,,,,,
Cl_Melotte_227,20 16 48.000,-79 02 24.000,Cl_Melotte_227,Melotte_227,Melotte_227,,Melotte_227,,Melotte_227,,Melotte_227,1169.0,524.5,4.0,3344.104890848476,1361.7264169714585,3.0,,,,39.875,14.643017747377076,4.0,,,,9.439367222791567,8.219367222791568,1.0,0.1632,0.02489015869776648,2.0
